,0
h0_n_d_m_t0.75_11_9,1.3150992716821433e-46
b0_t0.25_11_9,1.3594307706238041e-46
self_11_9,2.978002052649752e-42
sep_10_6,1.4459354406311782e-41
beginning_11_6,3.022397024420928e-40
v_t0.025_11_9,9.224288521068509e-40
sep_11_9,3.550194580492428e-39
m_t0.1_11_9,4.053849433960559e-39
prev_11_9,2.6469855079853317e-38
sep_10_3,2.9237385960753677e-38
beginning_11_9,4.839039952731181e-38
next_11_9,6.598874407934175e-38
h0_t_d_11_9,1.0618956828012766e-37
beginning_11_0,1.918691326889151e-37
sep_10_2,3.282401495874527e-37
next_11_5,4.457052703766304e-37
sep_11_11,2.7144071410867568e-36
v_t0.05_11_9,3.409070311885782e-35
beginning_11_2,1.4042536090876283e-34
v_t0.025_11_5,3.6059348173350293e-34
v_t0.025_10_3,5.121883914565225e-33
c_t0.25_11_9,7.715097967485825e-33
b1_t0.5_10_3,7.964870587026898e-33
b0_t0.25_10_3,1.0164462819981941e-32
h0_n_d_m_t0.75_10_3,1.0249254719831143e-32
c_t0.5_10_3,1.2077300544589406e-32
sep_11_2,1.9870160879075043e-32
sep_11_5,3.3339677033260215e-32
v_t0.025_11_1,3.710154228244734e-32
b1_t0.05_11_9,5.116880341621183e-32
sep_10_8,7.192375557389506e-32
m_t0.05_11_9,7.818654176744943e-32
beginning_11_4,7.829605778668296e-32
beginning_11_3,7.945247645083131e-32
m_t0.5_11_7,8.397151872327789e-32
self_11_5,1.4687419180687237e-31
self_11_1,1.5233223923673053e-31
sep_11_6,2.374318552838543e-31
dot_11_9,3.6811649904997106e-31
self_11_6,1.5652009465345463e-30
v_t0.025_11_10,1.5916822249927034e-30
h0_t_d_10_6,2.528376734760902e-30
v_t0.25_11_9,2.886409495732264e-30
dot_11_11,3.2359207249556146e-30
sep_11_3,7.096362186307858e-30
h1_n_b_l_t0.70_11_9,8.257829787594257e-30
h1_s_10_3,9.46327061714668e-30
h1_n_b_l_t0.70_11_2,1.0284684670285206e-29
self_11_0,1.0632630088471516e-29
h1_n_b_m_t0.25_10_3,1.1276957915511255e-29
h1_nb_10_3,1.1276957915511255e-29
beginning_11_7,1.4610466166787502e-29
h1_n_b_l_t0.95_10_3,2.247025842271815e-29
k_t0.25_11_9,2.5323804722484294e-29
v_t0.05_11_5,3.879845576841333e-29
h1_t_b_10_3,5.10267682571533e-29
m_t0.5_11_5,6.745802917709021e-29
dot_10_2,8.875323610796394e-29
dot_10_6,1.1886657865051854e-28
next_11_10,1.85823606844275e-28
v_t0.05_10_3,1.864537855776089e-28
h0_t_d_10_3,2.0033615771287499e-28
dot_11_2,3.9945936320167903e-28
dot_11_3,6.921785004541759e-28
dot_10_3,7.940468262115007e-28
c_t0.25_11_1,1.1696554629159813e-27
m_t0.5_11_1,1.2823053705326406e-27
h1_n_b_l_t0.70_11_11,1.3909322918910218e-27
m_t0.1_11_5,1.5284253487919647e-27
sep_10_9,1.9707724996445736e-27
dot_11_5,4.502223636311943e-27
sep_9_11,4.5710659704872296e-27
b1_t0.1_11_9,5.186472768615575e-27
sep_9_7,6.489812737231545e-27
v_t0.05_11_1,6.60621184196073e-27
beginning_11_1,7.156405273198105e-27
self_10_3,1.1209562016097498e-26
v_t0.25_11_3,2.1104123313108775e-26
b1_t0.025_11_9,2.1632082964995406e-26
dot_10_8,2.315039479966025e-26
v_t0.05_11_2,2.93103528024624e-26
self_11_10,5.814612437285791e-26
next_11_1,7.23371498108431e-26
sep_11_1,8.909013739168268e-26
v_t0.05_11_0,1.2647945251601996e-25
beginning_11_11,2.0069364497133962e-25
sep_10_0,2.0455788989139293e-25
dot_11_10,2.0801676163087223e-25
dot_11_6,2.8002635550210676e-25
m_t0.1_10_3,4.80363845566057e-25
dot_11_1,1.2689340390300488e-24
h1_n_b_l_t0.70_11_3,1.44065363820468e-24
v_t0.025_11_7,2.2082068564384468e-24
prev_11_7,2.225498067107235e-24
beginning_10_8,3.2988440422426904e-24
v_t0.25_11_6,3.356591158155321e-24
next_11_7,4.1142476143196776e-24
prev_11_1,4.161328633308156e-24
m_t0.05_10_3,4.651959968200081e-24
c_t0.25_10_3,6.272903313491658e-24
e_t0.5_11_5,7.260952408102353e-24
sep_9_10,7.603003330829933e-24
sep_9_0,8.621137815740208e-24
sep_11_10,9.533087233230653e-24
c_t0.25_11_6,1.1672040318228336e-23
sep_11_0,1.8074429834615386e-23
self_10_10,2.3067822672918728e-23
beginning_11_5,2.3357272922126214e-23
dot_9_0,4.4359973451535406e-23
m_t0.1_11_10,4.494374569843408e-23
next_11_6,5.479265910644215e-23
prev_11_5,6.020376236098007e-23
v_t0.025_11_2,6.169376911390424e-23
b1_t0.05_11_5,8.436320839796781e-23
e_t0.5_11_1,8.876603647096705e-23
h0_n_d_m_t0.75_11_1,9.116212628235139e-23
b0_t0.25_11_1,9.145237582329369e-23
v_t0.5_11_5,9.20455976777687e-23
sep_10_7,1.0340017235276838e-22
v_t0.1_11_9,1.0699029774473697e-22
v_t0.25_10_3,1.1581869812680128e-22
dot_10_4,1.3477329294121794e-22
v_t0.25_11_2,1.5405107638567172e-22
