,0
b0_t0.75_11_11,3.4285558282693856e-45
m_t0.05_11_11,1.437295182861639e-44
b0_t0.25_11_3,8.440292550484563e-44
h0_n_d_m_t0.75_11_3,8.440292550484563e-44
b0_t0.5_11_10,2.127019641132738e-43
h0_n_d_m_t0.5_11_10,2.571495451410339e-43
m_t0.1_11_11,6.572823282522984e-43
h1_t_b_11_5,1.0029944087704043e-42
h0_t_d_11_11,1.823533679227845e-42
h1_t_b_11_10,3.5708086270906076e-42
h0_s_11_11,5.83936836913524e-42
b0_t0.25_11_10,1.159461673999543e-41
h0_n_d_m_t0.75_11_10,1.159461673999543e-41
h1_t_b_11_3,1.7846655881062045e-41
h1_n_b_l_t0.95_11_5,2.932340277591157e-41
b1_t0.025_11_11,4.890330524190461e-41
h1_n_b_m_t0.25_11_5,5.774253454841161e-41
h1_nb_11_5,5.774253454841161e-41
h0_s_11_10,1.267080317656041e-40
b1_t0.05_11_11,2.2148508322900166e-40
h0_n_d_m_t0.5_11_3,2.3298159809077635e-40
b0_t0.5_11_3,2.6794217172146863e-40
e_t0.025_11_11,2.9254904485839383e-40
h1_s_11_5,3.2766262477715838e-40
h1_n_b_m_t0.25_11_3,4.364585294382457e-40
h1_nb_11_3,4.364585294382457e-40
h1_s_11_3,7.375824099054397e-40
h0_t_d_11_10,7.915649424775437e-40
h1_n_b_m_t0.25_10_10,1.0540297622657299e-39
h1_nb_10_10,1.0540297622657299e-39
h1_n_b_l_t0.95_11_3,1.1191857137238183e-39
v_t0.5_11_10,1.2041828141069569e-39
h1_n_b_l_t0.95_10_10,1.2154792156695077e-39
m_t0.025_11_11,1.7335106671400763e-39
h1_n_b_m_t0.25_11_10,1.869740613419921e-39
h1_nb_11_10,1.869740613419921e-39
e_t0.05_11_3,2.0754496421297208e-39
h1_n_b_l_t0.95_11_10,2.2411608435343037e-39
b0_t0.5_11_1,2.7933094816234812e-39
e_t0.05_11_10,2.904344143433432e-39
h0_n_d_m_t0.5_11_1,3.884919684681935e-39
b0_t0.75_11_10,4.1073111408815004e-39
b1_t0.1_10_11,4.170634796950324e-39
e_t0.025_11_10,4.915380212244174e-39
h0_n_d_m_t0.5_11_11,5.0340115854199513e-39
b0_t0.5_11_11,5.2763391942203986e-39
e_t0.05_11_11,7.771205594106109e-39
h0_t_d_10_11,8.039163020985796e-39
h0_s_11_3,1.776748263234946e-38
v_t0.5_11_11,1.8625503127532647e-38
h1_s_11_10,2.803060909041097e-38
h1_s_10_10,3.1777221521967957e-38
h1_t_b_10_10,3.4830990611493863e-38
c_t0.025_11_11,4.065312306646607e-38
h0_t_d_11_3,4.1470746529143626e-38
b1_t0.05_11_3,5.61232274380306e-38
e_t0.05_11_1,7.571275070947086e-38
b1_t0.1_11_10,9.724327706494118e-38
m_t0.25_10_11,1.2956706976162558e-37
c_t0.1_11_10,2.1197497264724192e-37
b1_t0.1_11_11,2.200794069440494e-37
b1_t0.05_10_11,2.204983550271712e-37
b1_t0.025_11_10,3.821105640959025e-37
m_t0.1_11_10,3.944478193692693e-37
b1_t0.1_11_1,5.042115059347976e-37
h0_t_d_11_1,5.669983467474996e-37
m_t0.1_11_3,5.866992119533406e-37
b0_t0.75_10_11,7.591674065638722e-37
b0_t0.75_11_3,8.0299032117778e-37
v_t0.1_10_11,1.1855700354266926e-36
b1_t0.05_11_1,1.4963129497826626e-36
h1_e_10_10,1.9000472623541153e-36
v_t0.75_11_11,2.316009387834154e-36
e_t0.1_11_10,3.217714100278527e-36
h0_s_10_11,4.474562275340445e-36
e_t0.025_11_3,6.927696428696816e-36
