feature,p_value
v_t0.025_10_10,1.249207190535484e-37
v_t0.05_10_10,3.819201870060836e-36
h0_t_d_10_10,2.600335253664129e-34
v_t0.25_10_10,1.8300475041821148e-31
v_t0.025_10_11,8.379129678259934e-29
v_t0.5_10_10,1.129811908531647e-28
b0_t0.75_8_0,2.5722405670184696e-26
prev_10_10,3.606428313704655e-26
v_t0.1_10_10,3.3981923168257897e-25
v_t0.025_10_4,2.5631715879763093e-23
b0_t0.5_10_10,5.609473370412372e-23
h1_s_8_9,1.3399193789728975e-22
h0_n_d_m_t0.5_10_10,1.3869091345770277e-22
v_t0.05_10_11,3.311246118585714e-22
v_t0.1_10_0,6.146283478225049e-22
next_10_11,1.1818850650265257e-21
v_t0.05_8_2,1.3924754329063626e-21
v_t0.1_8_10,1.5009302557074522e-21
h0_t_d_10_8,3.9517776146493875e-21
v_t0.1_8_2,4.752264597836319e-21
h0_t_d_9_8,1.170613706756536e-20
c_t0.025_10_10,4.2108142189492796e-20
c_t0.025_10_11,9.9794528491955e-20
v_t0.5_11_0,6.684718851637203e-19
v_t0.5_10_11,7.198790318502477e-19
v_t0.05_10_0,7.900844206627285e-19
v_t0.5_8_2,9.999295288541958e-19
prev_8_0,1.1069216140328413e-18
c_t0.05_10_10,1.6196545226905638e-18
v_t0.025_9_8,2.262975941443623e-18
h1_s_6_4,4.745572707309254e-18
next_11_0,6.894548707522777e-18
v_t0.75_8_2,9.333468950205648e-18
c_t0.25_9_8,2.028240477573976e-17
h1_s_9_2,2.865920219648199e-17
v_t0.025_8_2,2.963888528141014e-17
h1_nb_8_9,3.1537437389391645e-17
h1_n_b_m_t0.25_8_9,3.1537437389391645e-17
next_10_0,3.532272140584015e-17
h0_t_d_10_11,4.12000214958337e-17
v_t0.05_9_9,6.195222738772338e-17
v_t0.05_9_8,9.613465660073356e-17
v_t0.1_9_11,9.914254136410335e-17
v_t0.05_9_7,1.241511320704625e-16
h1_n_b_l_t0.95_8_9,1.3363317955863687e-16
v_t0.05_10_4,4.135387601130434e-16
