,0
self_11_0,2.7094235237804088e-20
c_t0.5_11_0,5.837481824755492e-20
b1_t0.5_11_0,5.837481824755492e-20
b0_t0.25_11_0,2.641143943188223e-19
c_t0.75_11_5,3.0360868817462717e-19
b1_t0.75_11_5,3.0360868817462717e-19
h0_n_d_m_t0.75_11_0,3.4331906786452703e-19
h0_n_d_m_t0.75_11_5,4.3284226237397514e-19
b0_t0.25_11_5,4.539543258627619e-19
c_t0.5_11_5,1.1987728702164957e-18
b1_t0.5_11_5,1.1987728702164957e-18
c_t0.25_11_0,1.3958274752820768e-18
h0_t_d_11_0,1.434634997486413e-18
self_11_5,3.0919496829427683e-18
h0_t_d_11_5,1.3037637930928672e-17
c_t0.25_11_5,3.6599695394937757e-17
beginning_9_4,4.040637524763249e-17
beginning_10_10,8.744968192036874e-17
v_t0.025_11_0,3.3235761245165057e-15
beginning_10_2,7.371004840858284e-15
beginning_10_9,1.151363403171946e-14
b0_t0.5_11_0,2.7358589468446224e-14
h0_n_d_m_t0.5_11_0,2.9686806901038256e-14
beginning_10_8,3.2533487531148515e-14
dot_10_9,3.2570841111666146e-14
v_t0.05_11_0,4.25704134720518e-14
c_t0.75_11_0,5.565668646336842e-14
b1_t0.75_11_0,5.565668646336842e-14
beginning_10_11,9.579797783545439e-14
v_t0.05_9_7,1.1817051920622132e-13
beginning_11_5,1.4249644198205703e-13
m_t0.05_11_0,2.37228629448946e-13
beginning_9_11,3.9053771132020817e-13
beginning_9_7,6.335307609706213e-13
m_t0.1_11_0,8.549170132519876e-13
m_t0.5_11_5,1.0357677173811421e-12
b1_t0.05_11_0,1.3355431839121857e-12
beginning_9_0,2.598678725049151e-12
beginning_11_0,3.440699383444804e-12
b0_t0.1_11_5,5.7315953734685204e-12
h0_s_11_0,6.894140921253179e-12
next_11_0,7.33227230833951e-12
b1_t0.025_11_0,1.878658604541375e-11
m_t0.1_11_5,1.9698948487203543e-11
next_11_5,3.833853108708389e-11
dot_10_4,4.7997961548714435e-11
sep_10_9,6.064802911206747e-11
prev_11_11,7.547290784721387e-11
v_t0.05_7_0,8.451778315883445e-11
beginning_8_9,1.138008778624873e-10
c_t0.05_11_0,1.2032754716279922e-10
beginning_9_3,1.4588001477713832e-10
b0_t0.5_11_5,1.5688977519621719e-10
