,Syntax,Semantics,Morphology,0,Hallucination,All
0,0.0011790431,0.0021354544,0.0027440982,0.0022552486,0.001408289,0.0028648234
1,0.008105027,0.0024379503,0.008611543,0.009736181,0.00553386,0.0018631342
2,0.012118766,0.008193564,0.017771354,0.017535642,0.012204939,0.010522864
3,0.0142854545,0.004140846,0.0059766867,0.0044444934,0.0047806483,0.0026337013
4,0.013875824,0.017982,0.011650225,0.009376188,0.011395061,0.016290534
5,0.035067268,0.06035162,0.027769383,0.06182607,0.012821748,0.01927348
6,0.030230712,0.034942225,0.04379835,0.037925757,0.028844839,0.016713051
7,0.042759098,0.030624682,0.032429144,0.020890063,0.02206732,0.028866768
8,0.047678556,0.064739615,0.030943139,0.034147374,0.032206494,0.026021846
9,0.08374303,0.07431571,0.033208795,0.038615804,0.094865136,0.017023804
10,0.12217898,0.06855924,0.01913381,0.031949136,0.10582643,0.011536031
11,0.13348137,0.049436506,0.047309697,0.05947193,0.2622286,0.043911085
